Nom du jeu,Code emission,N° livret,N° du colis,Date de réception,Date d'activation,Date statut vendu,Date relevé d'opération,N° relevé d'opération
ASTRO,66402,1686551,704457054,2022-10-22 00:00:00,2022-11-06 00:00:00,,,
CASH,14001,6366751,704457052,2022-10-22 00:00:00,2022-11-06 00:00:00,,,
MAXI MOTS CROISÉS,67303,1415671,704457052,2022-10-22 00:00:00,2022-11-06 00:00:00,,,
MEGA MOTS CROISÉS,67403,900397,704387130,2022-10-07 00:00:00,2022-11-06 00:00:00,,,
MEGA MOTS CROISÉS,67403,900398,704387130,2022-10-07 00:00:00,2022-11-06 00:00:00,,,
MILLIONNAIRE,67101,5516146,704387131,2022-10-07 00:00:00,2022-11-06 00:00:00,,,
CASH,14001,6366746,704457052,2022-10-22 00:00:00,2022-11-05 00:00:00,2022-11-06 00:00:00,,
CASH,14001,6366750,704457052,2022-10-22 00:00:00,2022-11-05 00:00:00,2022-11-06 00:00:00,,
JACKPOT,65902,5043425,704387131,2022-10-07 00:00:00,2022-11-05 00:00:00,,,
MAXI MOTS CROISÉS,67303,1415632,704457052,2022-10-22 00:00:00,2022-11-05 00:00:00,2022-11-06 00:00:00,,
MAXI MOTS CROISÉS,67303,1415662,704457052,2022-10-22 00:00:00,2022-11-05 00:00:00,,,
MEGA MOTS CROISÉS,67403,900383,704387130,2022-10-07 00:00:00,2022-11-05 00:00:00,2022-11-06 00:00:00,,
MEGA MOTS CROISÉS,67403,900384,704387130,2022-10-07 00:00:00,2022-11-05 00:00:00,2022-11-06 00:00:00,,
MOTS CROISÉS,67503,1230156,704457051,2022-10-22 00:00:00,2022-11-05 00:00:00,,,
SUPER 10 OU 200,66804,2039782,704457051,2022-10-22 00:00:00,2022-11-05 00:00:00,,,
X20,14801,1495025,704312835,2022-09-22 00:00:00,2022-11-05 00:00:00,,,
A PRENDRE OU A LAISSER,70301,2082826,703994346,2022-07-01 00:00:00,2022-11-04 00:00:00,,,
BANCO,88701,641987,703719229,2022-04-08 00:00:00,2022-11-04 00:00:00,,,
CASH,14001,6366744,704457052,2022-10-22 00:00:00,2022-11-04 00:00:00,2022-11-05 00:00:00,,
CASH,14001,6366745,704457052,2022-10-22 00:00:00,2022-11-04 00:00:00,2022-11-06 00:00:00,,
MAXI MOTS CROISÉS,67303,1130011,704387130,2022-10-07 00:00:00,2022-11-04 00:00:00,2022-11-05 00:00:00,,
